region,variable,box_width_cells,predicted_anomaly_second_moment,target_anomaly_second_moment,anomaly_cross_moment,anomaly_mse,anomaly_rms_ratio,anomaly_correlation,run
extratropics,zos,3,0.00188648299728,0.00188648299728,0.00188648299728,0.0,1.0,1.0,E
extratropics,zos,9,0.0045925453399317,0.0045925453399317,0.0045925453399317,0.0,1.0,1.0,E
global,so,0,0.006083667524798105,0.005848825363852453,0.0016980470861732034,0.008536398715358374,1.0198784345993952,0.2846640775590154,E
global,so,3,0.001955712039257158,0.0008034343685033046,0.0001408639729828701,0.0024774184617981313,1.56018914447023,0.11237566527345154,E
global,so,9,0.004053059671981911,0.0023167754722177142,0.0004994129927679943,0.005371009153009379,1.322663976838236,0.1629770170090278,E
global,sst,0,0.0046924494719603,0.0046924494719603,0.0046924494719603,0.0,1.0,1.0,E
global,sst,3,0.000248875714882,0.000248875714882,0.000248875714882,0.0,1.0,1.0,E
global,sst,9,0.0007781343084214,0.0007781343084214,0.0007781343084214,0.0,1.0,1.0,E
global,thetao,0,0.007726852937552334,0.007122614420689051,0.0033057253704988276,0.008238016625965024,1.0415535558840467,0.4456005623823666,E
global,thetao,3,0.002032541077784278,0.001031713265675866,0.0004218579107840924,0.0022205385230560167,1.403589654198888,0.29131780193293255,E
global,thetao,9,0.004751919223911239,0.002720648763092356,0.0012110225059790644,0.0050505229874145555,1.3215946926641147,0.33680726485106244,E
global,uo,0,0.28421944747384337,0.46828191182766743,0.22985084330715563,0.29279967376458266,0.7790641213940637,0.6300362163263069,E
global,uo,3,0.1240324875412153,0.2631157381952221,0.09632432075481756,0.1944995841990754,0.6865850044586522,0.5332057391249758,E
global,uo,9,0.24064650172283517,0.4154731379599092,0.1947994646296927,0.2665207108867922,0.7610589565009677,0.6160649592520262,E
global,vo,0,0.38403894551442946,0.6227195203969733,0.3267960925801899,0.3531662808460862,0.7853104822053802,0.66825617569388,E
global,vo,3,0.16591076212620745,0.33125217580560795,0.13296697226069282,0.23122899352331733,0.7077141995446375,0.5671881265168734,E
global,vo,9,0.3651269744014182,0.5910971056331288,0.3160249560889191,0.32417416775372354,0.7859457010755617,0.6802522768356564,E
global,zos,0,0.0068097473357361,0.0068097473357361,0.0068097473357361,0.0,1.0,1.0,E
global,zos,3,0.001248119915177,0.001248119915177,0.001248119915177,0.0,1.0,1.0,E
global,zos,9,0.0032416057603603,0.0032416057603603,0.0032416057603603,0.0,1.0,1.0,E
tropics,so,0,0.005397060720221742,0.00556262085767442,0.0013794982808068561,0.008200685027986715,0.9850061047783069,0.25176930528773156,E
tropics,so,3,0.001450731607250137,0.0005817810999804177,6.704970568719877e-05,0.0018984133009486473,1.5791149034600944,0.07298330648765744,E
tropics,so,9,0.0033905170463356263,0.002007177723696619,0.0002748965199467856,0.004847901740443342,1.2996908214106688,0.10537640098247275,E
tropics,sst,0,0.0035379888146476,0.0035379888146476,0.0035379888146476,0.0,1.0,1.0,E
tropics,sst,3,7.860092261001806e-05,7.860092261001806e-05,7.860092261001806e-05,0.0,1.0,1.0,E
tropics,sst,9,0.0003904461821851,0.0003904461821851,0.0003904461821851,0.0,1.0,1.0,E
tropics,thetao,0,0.008165451926589427,0.005018571690612044,0.0021316107044071653,0.008920802211511182,1.2755575183750654,0.3329873330588582,E
tropics,thetao,3,0.0027059392733972056,0.000303547318987435,-9.207742989637842e-06,0.003027902073124267,2.985697622251069,-0.010159701890111545,E
tropics,thetao,9,0.005286664745833572,0.0013055355775087021,0.0002588867965880399,0.0060744267285972944,2.0123176181858646,0.09854274612370383,E
tropics,uo,0,0.2900301569925224,0.46313475221316275,0.22309969113283115,0.30696552654392595,0.7913487007507921,0.60872859755898,E
tropics,uo,3,0.056246627546977526,0.10718101578537353,0.022179371416389006,0.11906890068470571,0.724418128015457,0.285655148099336,E
tropics,uo,9,0.1959247061748063,0.351497530172728,0.14157528195780578,0.2642716717872133,0.7465922255336793,0.5394878823660477,E
tropics,vo,0,0.2342759254331572,0.4424643999224074,0.1794211875557194,0.3178979507204321,0.727653569637405,0.5572764992907967,E
tropics,vo,3,0.06312938278926168,0.13395883679659296,0.03196075160229015,0.13316671654447346,0.6864834755894103,0.34754858788389803,E
tropics,vo,9,0.2011366512454107,0.3895317894673487,0.15647472424238545,0.27771899455060095,0.7185783936532134,0.5590197276190775,E
tropics,zos,0,0.0044696328919286,0.0044696328919286,0.0044696328919286,0.0,1.0,1.0,E
tropics,zos,3,0.000141801409652,0.000141801409652,0.000141801409652,0.0,1.0,1.0,E
tropics,zos,9,0.0009003529893093,0.0009003529893093,0.0009003529893093,0.0,1.0,1.0,E
extratropics,so,0,0.007607875259643573,0.0060622746614476,0.0012018301513629169,0.01126648961236632,1.1202472517318487,0.17696753405705226,E-lr1
extratropics,so,3,0.0027030565312249634,0.0009373131444178054,0.00014096010012031292,0.0033584494796633896,1.6981858216056864,0.08855769040389011,E-lr1
extratropics,so,9,0.0056123894148276425,0.0025095795711831473,0.000455150970095499,0.00721166704698169,1.4954552207149976,0.12127773825610655,E-lr1
extratropics,sst,0,0.0053585917016284,0.0053585917016284,0.0053585917016284,0.0,1.0,1.0,E-lr1
extratropics,sst,3,0.0003471269379275,0.0003471269379275,0.0003471269379275,0.0,1.0,1.0,E-lr1
extratropics,sst,9,0.001001836462158,0.001001836462158,0.001001836462158,0.0,1.0,1.0,E-lr1
extratropics,thetao,0,0.008058914755978983,0.008439573906043206,0.0034546370138582886,0.009589214660812589,0.9771877649083812,0.41889374988578787,E-lr1
extratropics,thetao,3,0.0015943077611138055,0.0014739693815193037,0.0006450711835723589,0.0017781347747804499,1.0400203784665765,0.42080154963814265,E-lr1
extratropics,thetao,9,0.004918508249801123,0.0035871181333156665,0.0016810426284638233,0.005143541132578611,1.17096486015992,0.40021115069627017,E-lr1
extratropics,uo,0,0.21628367930555642,0.47577047637965314,0.15367672324442022,0.3847007102420646,0.6742378516765347,0.4790683423996355,E-lr1
extratropics,uo,3,0.12553012297191177,0.35889915138847456,0.0831164143749813,0.31819644594908647,0.5914087713866826,0.3915855042902574,E-lr1
extratropics,uo,9,0.2083792017177658,0.4573543696153804,0.14990499890362372,0.3659235743893897,0.6749953307165366,0.48558192697206587,E-lr1
extratropics,vo,0,0.3849191769822869,0.7347522544486924,0.3049304404953006,0.5098105510424452,0.7237928866816988,0.5733839646377816,E-lr1
extratropics,vo,3,0.1804643672064604,0.4512844520607633,0.12799056065117798,0.37576769777969243,0.6323689623135442,0.44849439963024845,E-lr1
extratropics,vo,9,0.38182539193000264,0.7155817991428588,0.3070551908928019,0.4832968081425378,0.7304706321503177,0.5874276675596783,E-lr1
extratropics,zos,0,0.0081600304269655,0.0081600304269655,0.0081600304269655,0.0,1.0,1.0,E-lr1
extratropics,zos,3,0.00188648299728,0.00188648299728,0.00188648299728,0.0,1.0,1.0,E-lr1
extratropics,zos,9,0.0045925453399317,0.0045925453399317,0.0045925453399317,0.0,1.0,1.0,E-lr1
global,so,0,0.007064184814380553,0.005848825363852453,0.001024340733511467,0.010864328720323606,1.0989974868037422,0.1593599150277213,E-lr1
global,so,3,0.0022901895598270053,0.0008034343685033046,0.00011029104862851862,0.0028730418272776424,1.6883423426797393,0.08130726411666285,E-lr1
global,so,9,0.005049419825946568,0.0023167754722177142,0.00034493969282041063,0.006676315915944569,1.476314098281877,0.10085105796730413,E-lr1
global,sst,0,0.0046924494719603,0.0046924494719603,0.0046924494719603,0.0,1.0,1.0,E-lr1
global,sst,3,0.000248875714882,0.000248875714882,0.000248875714882,0.0,1.0,1.0,E-lr1
global,sst,9,0.0007781343084214,0.0007781343084214,0.0007781343084214,0.0,1.0,1.0,E-lr1
global,thetao,0,0.008562612755607673,0.007122614420689051,0.0028447553261763446,0.0099957165092451,1.0964363732375533,0.36426886297506605,E-lr1
global,thetao,3,0.0021098812441806224,0.001031713265675866,0.00039556671010802715,0.0023504610868139387,1.4300443234404856,0.2681088947030736,E-lr1
global,thetao,9,0.005514813415451588,0.002720648763092356,0.0011085210503217337,0.0060184200908206835,1.4237350369435147,0.28618198652206633,E-lr1
global,uo,0,0.2304499263477604,0.46828191182766743,0.15909511169170137,0.38054161559610145,0.7015111778537202,0.4843004333409684,E-lr1
global,uo,3,0.09991134774852847,0.2631157381952221,0.05719443363251911,0.24863821855493198,0.616217454531207,0.35275480814344307,E-lr1
global,uo,9,0.19399632370532158,0.4154731379599092,0.12978378640154073,0.349901889016627,0.6833217979635644,0.4571431487801296,E-lr1
global,vo,0,0.30395838356062427,0.6227195203969733,0.23045286462938827,0.46577217517413716,0.6986518658805623,0.5296985790777841,E-lr1
global,vo,3,0.1344956043456096,0.33125217580560795,0.08700760338056367,0.2917325740986083,0.6371983984655811,0.41221499987433186,E-lr1
global,vo,9,0.2949316497101928,0.5910971056331288,0.22683115528301312,0.4323664453991672,0.7063684181766823,0.5432660906616628,E-lr1
global,zos,0,0.0068097473357361,0.0068097473357361,0.0068097473357361,0.0,1.0,1.0,E-lr1
global,zos,3,0.001248119915177,0.001248119915177,0.001248119915177,0.0,1.0,1.0,E-lr1
global,zos,9,0.0032416057603603,0.0032416057603603,0.0032416057603603,0.0,1.0,1.0,E-lr1
tropics,so,0,0.006155096590845674,0.00556262085767442,0.0007411427252578798,0.010235432012747774,1.051907874857074,0.12666151661231398,E-lr1
tropics,so,3,0.001584949735800521,0.0005817810999804177,5.9979895992737005e-05,0.002046771053320237,1.650547179101054,0.0624623266576869,E-lr1
tropics,so,9,0.004097057947347253,0.002007177723696619,0.00016232467187034597,0.005779586325243326,1.4287068897258692,0.056605100551192666,E-lr1
tropics,sst,0,0.0035379888146476,0.0035379888146476,0.0035379888146476,0.0,1.0,1.0,E-lr1
tropics,sst,3,7.860092261001806e-05,7.860092261001806e-05,7.860092261001806e-05,0.0,1.0,1.0,E-lr1
tropics,sst,9,0.0003904461821851,0.0003904461821851,0.0003904461821851,0.0,1.0,1.0,E-lr1
tropics,thetao,0,0.009376905588448767,0.005018571690612044,0.0018576572599759342,0.01068016274289436,1.366909322412619,0.27079818630536706,E-lr1
tropics,thetao,3,0.0029354531154840054,0.000303547318987435,-1.6251162079270087e-05,0.003271502763583978,3.1097421016447613,-0.017216055215457375,E-lr1
tropics,thetao,9,0.006467640092921689,0.0013055355775087021,0.00016634012648535776,0.007440495429507978,2.2257611957282184,0.057243970521616325,E-lr1
tropics,uo,0,0.25771150004033516,0.46313475221316275,0.17190082811013727,0.37704459595623196,0.7459560047054482,0.49757366249673096,E-lr1
tropics,uo,3,0.058120948774962856,0.10718101578537353,0.014664845054230158,0.13597227448814408,0.7363892047606756,0.18580277533382325,E-lr1
tropics,uo,9,0.17235116843591652,0.351497530172728,0.09869147907211576,0.3264657398492716,0.7002384870638262,0.40096955894583985,E-lr1
tropics,vo,0,0.17210019064957252,0.4424643999224074,0.10901751565648524,0.39652955878262564,0.6236651962788425,0.39506307368464577,E-lr1
tropics,vo,3,0.05881736006197584,0.13395883679659296,0.019163887288988966,0.15444842281175505,0.662623875245974,0.21589628039793995,E-lr1
tropics,vo,9,0.15287934915459198,0.3895317894673487,0.0955586904760301,0.351293758904598,0.6264738673233751,0.39158344609604717,E-lr1
tropics,zos,0,0.0044696328919286,0.0044696328919286,0.0044696328919286,0.0,1.0,1.0,E-lr1
tropics,zos,3,0.000141801409652,0.000141801409652,0.000141801409652,0.0,1.0,1.0,E-lr1
tropics,zos,9,0.0009003529893093,0.0009003529893093,0.0009003529893093,0.0,1.0,1.0,E-lr1
extratropics,so,0,0.0056043772918361314,0.0060622746614476,0.0019514416861961485,0.007763768585645316,0.9614924490050762,0.33479124410209177,F
extratropics,so,3,0.0018672045202804421,0.0009373131444178054,0.00022863461329390478,0.002347248431636984,1.4114113038696348,0.17282385199582356,F
extratropics,so,9,0.0037378660562372894,0.0025095795711831473,0.0007669246214278132,0.004713596381083116,1.2204258056767052,0.25040346147168707,F
extratropics,sst,0,0.0053585917016284,0.0053585917016284,0.0053585917016284,0.0,1.0,1.0,F
extratropics,sst,3,0.0003471269379275,0.0003471269379275,0.0003471269379275,0.0,1.0,1.0,F
extratropics,sst,9,0.001001836462158,0.001001836462158,0.001001836462158,0.0,1.0,1.0,F
extratropics,thetao,0,0.007250305591961144,0.008439573906043206,0.004128202842430861,0.007433473813730561,0.9268680153308173,0.5277431588110414,F
extratropics,thetao,3,0.0015819525110095,0.0014739693815193037,0.0007053275417127743,0.0016452668051099779,1.0359826687552383,0.46190205074100577,F
extratropics,thetao,9,0.0041885650653352945,0.0035871181333156665,0.0018374871438168673,0.004100708897476633,1.080587136706618,0.4740441990277035,F
extratropics,uo,0,0.33697638592144574,0.47577047637965314,0.2830948532657506,0.24655715619738208,0.8415908202919158,0.7070229242588003,F
extratropics,uo,3,0.1991500704648772,0.35889915138847456,0.18376043916406112,0.19052834396291637,0.7449103636362994,0.6873462572226826,F
extratropics,uo,9,0.3136449135218067,0.4573543696153804,0.2706939506243987,0.22961138212208668,0.8281189218803457,0.7147151855055448,F
extratropics,vo,0,0.5742536566949537,0.7347522544486924,0.5066874511282473,0.2956310087485176,0.8840593486240993,0.7800416641289102,F
extratropics,vo,3,0.2904293402744252,0.4512844520607633,0.2627979010711921,0.2161179905968229,0.8022229064872006,0.7258994418981995,F
extratropics,vo,9,0.5517953906776675,0.7155817991428588,0.4944529707074672,0.2784712498355013,0.8781311664392308,0.7868760255199863,F
extratropics,zos,0,0.0081600304269655,0.0081600304269655,0.0081600304269655,0.0,1.0,1.0,F
extratropics,zos,3,0.00188648299728,0.00188648299728,0.00188648299728,0.0,1.0,1.0,F
extratropics,zos,9,0.0045925453399317,0.0045925453399317,0.0045925453399317,0.0,1.0,1.0,F
global,so,0,0.0053054419735937206,0.005848825363852453,0.001767307524829075,0.007619652280446289,0.9524155058665045,0.31726123830200237,F
global,so,3,0.0016291256255845054,0.0008034343685033046,0.0001716975593118068,0.002089164877673158,1.4239740820419196,0.15007613321541596,F
global,so,9,0.003447288116617131,0.0023167754722177142,0.0006120705350184057,0.004539922526953342,1.21982300003131,0.21658117656541756,F
global,sst,0,0.0046924494719603,0.0046924494719603,0.0046924494719603,0.0,1.0,1.0,F
global,sst,3,0.000248875714882,0.000248875714882,0.000248875714882,0.0,1.0,1.0,F
global,sst,9,0.0007781343084214,0.0007781343084214,0.0007781343084214,0.0,1.0,1.0,F
global,thetao,0,0.007224196336084688,0.007122614420689051,0.003372678866812539,0.007601453001492262,1.007105697566554,0.47017605070657625,F
global,thetao,3,0.0019240091058094944,0.001031713265675866,0.00043620040622660176,0.0020833215634029163,1.3656017171535813,0.3096014576893161,F
global,thetao,9,0.004331949409256784,0.002720648763092356,0.0012464489008177327,0.004559700377710067,1.2618433669632314,0.36307517220643404,F
global,uo,0,0.3185820819959559,0.46828191182766743,0.2648630634362174,0.2571378685157708,0.8248158191472047,0.6857361319923664,F
global,uo,3,0.1436416197574119,0.2631157381952221,0.12404726430821263,0.15866282933224773,0.7388677889539856,0.63807779430495,F
global,uo,9,0.2693140036973593,0.4154731379599092,0.2256496316698369,0.23348787785416136,0.8051151391984124,0.6745803490266576,F
global,vo,0,0.454413575070263,0.6227195203969733,0.39330974439082783,0.2905136050932715,0.8542390264885165,0.7393716904362232,F
global,vo,3,0.20488547865283543,0.33125217580560795,0.17792737001730427,0.1802829148793461,0.7864592405134511,0.6829797075441898,F
global,vo,9,0.4243577873687805,0.5910971056331288,0.373692245836083,0.2680704038330749,0.8472989569104086,0.7461370087389497,F
global,zos,0,0.0068097473357361,0.0068097473357361,0.0068097473357361,0.0,1.0,1.0,F
global,zos,3,0.001248119915177,0.001248119915177,0.001248119915177,0.0,1.0,1.0,F
global,zos,9,0.0032416057603603,0.0032416057603603,0.0032416057603603,0.0,1.0,1.0,F
tropics,so,0,0.004819899993321774,0.00556262085767442,0.0014783484779163168,0.007425823885895921,0.9308491010895442,0.2855078639955571,F
tropics,so,3,0.0012227414088571528,0.0005817810999804177,7.681128126567218e-05,0.0016508999498391368,1.4497312676500749,0.09107053654393621,F
tropics,so,9,0.0029595996969446316,0.002007177723696619,0.00035401718542859645,0.004258743042741679,1.2142932276894411,0.14524959953044084,F
tropics,sst,0,0.0035379888146476,0.0035379888146476,0.0035379888146476,0.0,1.0,1.0,F
tropics,sst,3,7.860092261001806e-05,7.860092261001806e-05,7.860092261001806e-05,0.0,1.0,1.0,F
tropics,sst,9,0.0003904461821851,0.0003904461821851,0.0003904461821851,0.0,1.0,1.0,F
tropics,thetao,0,0.007186072422546834,0.005018571690612044,0.0021535807870243892,0.007897482522372344,1.1966185435787062,0.3586124037328979,F
tropics,thetao,3,0.0024692382161014,0.000303547318987435,-8.300269485377801e-06,0.0027893860747563053,2.852123284744308,-0.009587326048385816,F
tropics,thetao,9,0.004554523291956278,0.0013055355775087021,0.00027400921184054004,0.005312040427789928,1.8677859663869156,0.1123697317434672,F
tropics,uo,0,0.2932805360821192,0.46313475221316275,0.2399075488844101,0.2766001903823815,0.7957706835522582,0.6509514634535386,F
tropics,uo,3,0.05268223035599337,0.10718101578537353,0.026001167833210246,0.10786091048292246,0.7010889822757396,0.3460205114890743,F
tropics,uo,9,0.19930457741275606,0.351497530172728,0.15450377744505675,0.24179455331352906,0.7530043719604106,0.5837398288127816,F
tropics,vo,0,0.25928042462251083,0.4424643999224074,0.20865784857544903,0.2844291258482525,0.7655008861588649,0.6160425270093486,F
tropics,vo,3,0.063398774255786,0.13395883679659296,0.03729157672209338,0.1227744576233552,0.6879466288104468,0.4046547396245432,F
tropics,vo,9,0.21609104502746107,0.3895317894673487,0.1762819495289757,0.2530589369796553,0.744812457480083,0.6076003381878735,F
tropics,zos,0,0.0044696328919286,0.0044696328919286,0.0044696328919286,0.0,1.0,1.0,F
tropics,zos,3,0.000141801409652,0.000141801409652,0.000141801409652,0.0,1.0,1.0,F
tropics,zos,9,0.0009003529893093,0.0009003529893093,0.0009003529893093,0.0,1.0,1.0,F
extratropics,so,0,0.0063584599998452,0.0060622746614476,0.0017349531716720982,0.008950828305004406,1.0241372610801611,0.279443479927822,F-lr1
extratropics,so,3,0.0021660959112961473,0.0009373131444178054,0.0001726016626864905,0.0027582057277667367,1.5201851563073139,0.12113336450229396,F-lr1
extratropics,so,9,0.004315302313447979,0.0025095795711831473,0.0006321579704333007,0.005560565937701805,1.3113092594050042,0.19209652993546986,F-lr1
extratropics,sst,0,0.0053585917016284,0.0053585917016284,0.0053585917016284,0.0,1.0,1.0,F-lr1
extratropics,sst,3,0.0003471269379275,0.0003471269379275,0.0003471269379275,0.0,1.0,1.0,F-lr1
extratropics,sst,9,0.001001836462158,0.001001836462158,0.001001836462158,0.0,1.0,1.0,F-lr1
extratropics,thetao,0,0.007228479242447711,0.008439573906043206,0.003573076366188156,0.008521900418727671,0.9254718401498655,0.45746573362122617,F-lr1
extratropics,thetao,3,0.0014749179393594445,0.0014739693815193037,0.0005549838745425777,0.0018389195740421277,1.0003217181077355,0.37640224455173804,F-lr1
extratropics,thetao,9,0.0043113016124002165,0.0035871181333156665,0.0015702914146270182,0.004757836911833539,1.096304921092477,0.39930358860846477,F-lr1
extratropics,uo,0,0.2970727795476548,0.47577047637965314,0.2443758970733528,0.2840914616063197,0.7901921036954193,0.6500222083453163,F-lr1
extratropics,uo,3,0.16723902700176774,0.35889915138847456,0.1476717913302492,0.23079459550594913,0.6826256457102386,0.6027573450838928,F-lr1
extratropics,uo,9,0.27394686629802606,0.4573543696153804,0.23176921753570284,0.2677628018441256,0.7739390357704354,0.6547811521439647,F-lr1
extratropics,vo,0,0.5193841910818546,0.7347522544486924,0.44615382647685453,0.3618287910162166,0.8407635971345773,0.7222204727538947,F-lr1
extratropics,vo,3,0.2594169985734675,0.4512844520607633,0.2228244363792252,0.2650525784204134,0.7581829775009127,0.6512360237107553,F-lr1
extratropics,vo,9,0.4933782295541266,0.7155817991428588,0.43556912509543283,0.33782177922701595,0.8303483905966696,0.7330565078711369,F-lr1
extratropics,zos,0,0.0081600304269655,0.0081600304269655,0.0081600304269655,0.0,1.0,1.0,F-lr1
extratropics,zos,3,0.00188648299728,0.00188648299728,0.00188648299728,0.0,1.0,1.0,F-lr1
extratropics,zos,9,0.0045925453399317,0.0045925453399317,0.0045925453399317,0.0,1.0,1.0,F-lr1
global,so,0,0.0059833707350292215,0.005848825363852453,0.0016729184500669846,0.008486359195443537,1.011436516912622,0.2827922395496273,F-lr1
global,so,3,0.001878827657898479,0.0008034343685033046,0.00013848064730935273,0.0024053007304161737,1.5292140148606614,0.11271206582582742,F-lr1
global,so,9,0.003976466840047363,0.0023167754722177142,0.0005177452846789361,0.0052577517317074895,1.3101068255176136,0.1705789734007577,F-lr1
global,sst,0,0.0046924494719603,0.0046924494719603,0.0046924494719603,0.0,1.0,1.0,F-lr1
global,sst,3,0.000248875714882,0.000248875714882,0.000248875714882,0.0,1.0,1.0,F-lr1
global,sst,9,0.0007781343084214,0.0007781343084214,0.0007781343084214,0.0,1.0,1.0,F-lr1
global,thetao,0,0.007568229635546046,0.007122614420689051,0.0030666499272694945,0.00855754422639019,1.0308071757941777,0.4176835142304735,F-lr1
global,thetao,3,0.0019388904559345169,0.001031713265675866,0.0003390033249377384,0.00229259707989645,1.3708727039352935,0.23968884022200165,F-lr1
global,thetao,9,0.004720676743517361,0.002720648763092356,0.0010630544003990205,0.005315216700703177,1.3172429785880864,0.2966313986031202,F-lr1
global,uo,0,0.2987161967933083,0.46828191182766743,0.2393409839411925,0.2883161422318755,0.7986853056086917,0.6399322465799367,F-lr1
global,uo,3,0.12610966607270752,0.2631157381952221,0.1002804451542354,0.18866451410205357,0.6923102710724199,0.5505143604770558,F-lr1
global,uo,9,0.24633780784869302,0.4154731379599092,0.19818760493472176,0.26543573652538194,0.7700059146114078,0.6194973858667243,F-lr1
global,vo,0,0.41319536679542673,0.6227195203969733,0.34655263097852795,0.3428096251719686,0.8145757588228381,0.6831958802944396,F-lr1
global,vo,3,0.18500753583219187,0.33125217580560795,0.15022203370786164,0.2158156447013536,0.7473350300675705,0.6068195415548133,F-lr1
global,vo,9,0.38080224420148473,0.5910971056331288,0.3280752265884292,0.3157488982342203,0.8026391386773125,0.6915033230502012,F-lr1
global,zos,0,0.0068097473357361,0.0068097473357361,0.0068097473357361,0.0,1.0,1.0,F-lr1
global,zos,3,0.001248119915177,0.001248119915177,0.001248119915177,0.0,1.0,1.0,F-lr1
global,zos,9,0.0032416057603603,0.0032416057603603,0.0032416057603603,0.0,1.0,1.0,F-lr1
tropics,so,0,0.005367417142193926,0.00556262085767442,0.0015877686570238548,0.007754500681974515,0.9822972868075903,0.29057939835008884,F-lr1
tropics,so,3,0.0013890104667652421,0.0005817810999804177,8.210063940011047e-05,0.001806590287748195,1.5451582140802778,0.0913301090133283,F-lr1
tropics,so,9,0.003406309954634984,0.002007177723696619,0.0003280484307955204,0.004757390814643421,1.3027142616352414,0.1254593313573487,F-lr1
tropics,sst,0,0.0035379888146476,0.0035379888146476,0.0035379888146476,0.0,1.0,1.0,F-lr1
tropics,sst,3,7.860092261001806e-05,7.860092261001806e-05,7.860092261001806e-05,0.0,1.0,1.0,F-lr1
tropics,sst,9,0.0003904461821851,0.0003904461821851,0.0003904461821851,0.0,1.0,1.0,F-lr1
tropics,thetao,0,0.008128204636691734,0.005018571690612044,0.0022598522492760487,0.008627071810792673,1.272644919887199,0.3538283807169724,F-lr1
tropics,thetao,3,0.0026824911751732387,0.000303547318987435,-1.795223601932184e-05,0.0030219429599006556,2.9727333150536763,-0.019894645167247607,F-lr1
tropics,thetao,9,0.005374400068218661,0.0013055355775087021,0.00022860165913125483,0.006222732337007417,2.028946709094676,0.08630183426997372,F-lr1
tropics,uo,0,0.30630198358728933,0.46313475221316275,0.2359173818734658,0.2976019731438077,0.8132446585096265,0.6263705785094805,F-lr1
tropics,uo,3,0.05871615627189378,0.10718101578537353,0.02233953684113424,0.12121809841168805,0.7401502233122892,0.28160244524680167,F-lr1
tropics,uo,9,0.20358122533889347,0.351497530172728,0.14561302889228073,0.26385269805606787,0.7610404195000943,0.544339982276791,F-lr1
tropics,vo,0,0.24039782409034846,0.4424643999224074,0.18428688400842402,0.31428845546018686,0.7370994707366726,0.5650540522998585,F-lr1
tropics,vo,3,0.061946032781714344,0.13395883679659296,0.029755475631501205,0.136393918636503,0.6800190280053388,0.32664383348117954,F-lr1
tropics,vo,9,0.196778666772689,0.3895317894673487,0.1522204543024218,0.28186954806644443,0.7107511219297182,0.5498098978436292,F-lr1
tropics,zos,0,0.0044696328919286,0.0044696328919286,0.0044696328919286,0.0,1.0,1.0,F-lr1
tropics,zos,3,0.000141801409652,0.000141801409652,0.000141801409652,0.0,1.0,1.0,F-lr1
tropics,zos,9,0.0009003529893093,0.0009003529893093,0.0009003529893093,0.0,1.0,1.0,F-lr1
